,city,lat,lng,pop,country,time,dist,risk
0,Qal eh-ye Now,34.98300013,63.13329964,2997.0,Afghanistan,130.0,102.39031704503823,4.169192476657067
1,Chaghcharan,34.5167011,65.25000063,15000.0,Afghanistan,730.0,875.5940273199918,0.8420204946462038
2,Lashkar Gah,31.58299802,64.35999955,201546.0,Afghanistan,77.0,694.0080079065493,1.6895443290478551
3,Zaranj,31.11200108,61.88699752,49851.0,Afghanistan,226.0,161.68149638368016,3.63329410543359
4,Tarin Kowt,32.63329815,65.86669865,10000.0,Afghanistan,7850.0,141.59776930516026,3.3284932997318273
5,Zareh Sharan,32.85000016,68.41670453,13737.0,Afghanistan,87.0,197.62167808192783,3.379623904229868
6,Asadabad,34.86600004,71.15000459,48400.0,Afghanistan,136.0,589.198693003658,1.751955357260162
7,Taloqan,36.72999904,69.54000364,64256.0,Afghanistan,6570.0,224.4494599483261,2.790878046115876
8,Mahmud-E Eraqi,35.01669608,69.33330065,7407.0,Afghanistan,165.0,213.93790473842938,3.1094120871589515
9,Mehtar Lam,34.65000001,70.16670052,17345.0,Afghanistan,3.0,433.33122275228556,2.992184064589906
10,Baraki Barak,33.9667021,68.96670354,22305.0,Afghanistan,3.0,796.1464499967515,2.089645316948271
11,Aybak,36.26100015,68.04000051,24000.0,Afghanistan,7370.0,357.59502404107855,2.0068665280071403
12,Mayda Shahr,34.45000209,68.79999663,35008.0,Afghanistan,8870.0,377.4133469316997,1.9375678458888212
13,Karokh,34.48676963,62.59177608,14388.5,Afghanistan,5.0,324.3001829729749,3.2715581549490684
14,Sheberghan,36.65798077,65.73830237,74441.0,Afghanistan,12.0,807.0400183009948,1.7794050257245757
15,Pol-e Khomri,35.95107302,68.70111894,41029.0,Afghanistan,9620.0,211.06083506128942,2.8198265684173025
16,Balkh,36.75011985,66.89973018,147426.0,Afghanistan,68.0,659.1104270182235,1.7693993720091863
17,Meymaneh,35.93022158,64.77009273,199795.0,Afghanistan,7370.0,173.71512828831993,3.2409444957643
18,Andkhvoy,36.93165916,65.10149369,50469.0,Afghanistan,3.0,194.24681204348437,4.282801909774853
19,Qalat,32.11226341,66.8867594,12191.0,Afghanistan,5270.0,535.3349265986462,1.3723754131874082
20,Ghazni,33.56331179,68.41782873,129892.5,Afghanistan,1183.0,303.52219598697707,2.547090565853912
21,Feyzabad,37.12976076,70.57924719,52490.0,Afghanistan,69.0,691.679262391401,1.6247110531301046
22,Kondoz,36.72795066,68.87252966,210855.5,Afghanistan,146.0,140.15674208930412,4.0059446717785985
23,Jalalabad,34.44152692,70.43610347,401697.0,Afghanistan,718.0,69.30642718214683,4.885028394818218
24,Charikar,35.01826174,69.16791215,53676.0,Afghanistan,27.0,430.6467840435292,2.5235124463529894
25,Gardiz,33.60005373,69.21462764,82680.5,Afghanistan,113.0,351.58646642317314,2.5991875168730174
26,Bamian,34.82106447,67.52103593,61863.0,Afghanistan,2070.0,599.564569231226,1.409476427440096
27,Baghlan,36.13933026,68.69925858,163598.5,Afghanistan,2570.0,58.10782524724255,4.955465912296657
28,Farah,32.39172955,62.09681921,58604.0,Afghanistan,3.0,155.75108461654318,4.625295410941351
29,Herat,34.33000917,62.16999304,439232.5,Afghanistan,12.0,212.8467608482242,3.907555603681122
30,Mazar-e Sharif,36.69999371,67.10002803,365432.5,Afghanistan,10.0,966.4609593108703,1.6524964979297738
31,Kandahar,31.61002016,65.69494584,613871.0,Afghanistan,42.0,335.2927566498183,2.9669275890795364
32,Kabul,34.51669029,69.18326005,3160266.0,Afghanistan,1730.0,57.62413514286289,5.174672512094881
33,Mariehamn,60.09699618,19.94900447,10682.0,Aland,44.0,606.561074635835,1.7850302474210862
34,Kruje,41.51899817,19.79700359,21286.0,Albania,82.0,397.19211229462593,2.369713524446806
35,Fier,40.73000402,19.573002600000002,69747.5,Albania,1580.0,324.07215246929775,2.376409786964688
36,Lushnje,40.94000113,19.71600348,41469.0,Albania,12.0,179.8568191145884,4.008654087140743
37,Puke,42.03330302,19.88330448,6495.0,Albania,55.0,302.36358346710233,2.755407707369816
38,Bajram Curri,42.33330007,20.08330257,7967.0,Albania,4320.0,76.16001258333299,4.286917090903803
39,Kukes,42.08300107,20.43399653,17832.0,Albania,820.0,345.42948800255965,2.2515205022702975
40,Sarande,39.87700212,19.99999859,15147.0,Albania,20.0,129.45028138971648,4.306419063230384
41,Erseke,40.33330213,20.68329651,7890.0,Albania,7240.0,578.7113845961518,1.1906567235690477
42,Pogradec,40.89999612,20.66400062,35000.0,Albania,107.0,579.914296363909,1.7901357240960882
43,Korce,40.61667601,20.76666353,58259.0,Albania,3.0,506.3265623328725,2.8453993098419113
44,Berat,40.70999705,19.97199958,46866.0,Albania,21.0,197.3234736910565,3.746816831947039
45,Corovode,40.51670403,20.23329663,14046.0,Albania,4970.0,493.1742953648071,1.5132182685802003
46,Gramsh,40.86669601,20.19999652,11556.0,Albania,166.0,322.51205497439116,2.5260903282807554
47,Librazhd,41.20000211,20.3667036,12691.0,Albania,281.0,334.758298957924,2.403633618966301
48,Tepelene,40.2832981,20.03329854,11955.0,Albania,5570.0,328.30638487284216,2.1059181397735895
49,Permet,40.23399605,20.35199756,10686.0,Albania,5.0,658.1822317049911,2.1758610161456877
50,Gjirokaster,40.07899809,20.14900256,23437.0,Albania,10070.0,583.6139985176632,1.2372215417535768
51,Peshkopi,41.6833021,20.43330349,14848.0,Albania,2070.0,380.08356647333414,1.9944390686352296
52,Burrel,41.62599908,20.01600053,15405.0,Albania,29.0,172.9074145553152,3.793367106004515
53,Lezhe,41.78799914,19.65400254,18695.0,Albania,68.0,259.2143749234559,3.0366672308238116
54,Rreshen,41.78330106,19.81670459,10064.0,Albania,68.0,800.6097647053028,1.2800959511497148
55,Vlore,40.47736005,19.49823075,89508.5,Albania,29.0,225.29957159894093,3.5223513529194577
56,Elbasan,41.12150677,20.08382808,132956.5,Albania,1330.0,384.2475200147508,2.1795749516730725
57,Durres,41.3177997,19.44820797,132233.0,Albania,4470.0,470.61853461093756,1.7540027086774033
58,Shkoder,42.06845156,19.51884965,122006.0,Albania,25.0,300.8851207165573,3.1373586336270463
59,Tirana,41.32754071,19.81888301,658318.0,Albania,2570.0,137.67935954990688,3.75655488114931
60,Jijel,36.82199703,5.76600356,148000.0,Algeria,129.0,350.79731606797685,2.6201189112869048
61,Tizi-Ouzou,36.80000111,4.033332556,144000.0,Algeria,68.0,519.7103026479763,2.1280318844134967
62,Bordj Bou Arreridj,36.05900401,4.629996466000001,134500.0,Algeria,38.0,234.52912811169804,3.4340587429950284
63,M'sila,35.7000031,4.545000583999999,125000.0,Algeria,4.0,188.22238569254284,4.3097745095437725
64,Guelma,36.46600213,7.427997486000001,123590.0,Algeria,1150.0,369.185433973809,2.2508455307474375
65,Oum el Bouaghi,35.84999715,7.149996522,100821.0,Algeria,389.0,142.55009903855634,3.798268974948385
66,Timimoun,29.23652163,0.269998737,26568.0,Algeria,115.0,532.3737853250217,1.8880561109108231
67,Sidi bel Abbes,35.19034426,-0.639971559,200186.5,Algeria,310.0,1059.481443677496,0.8394071712660414
68,Tlimcen,34.89041424,-1.32000757,181059.0,Algeria,3190.0,1001.7542848989751,0.6596513807204859
69,Beni Ounif,32.04926984,-1.251381268,5628.0,Algeria,200.0,531.8261594991109,1.681417023414071
70,Abadla,31.01708478,-2.733306317,14364.0,Algeria,219.0,526.4315659198323,1.7624020764336263
71,Sefra,32.76041506,-0.579949383,51118.0,Algeria,310.0,237.56069195931957,3.0131039456319626
72,Skikda,36.88042198,6.899981647000001,193941.5,Algeria,3.0,301.61819347650487,3.7082266154242647
75,In Amguel,23.69394004,5.164738727,3030.0,Algeria,7370.0,337.3048269518849,1.920624700663125
76,El Bayadh,33.6903583,1.009953571,67413.0,Algeria,10.0,276.5846682701572,3.4397750089966896
77,El Oued,33.37040367,6.859984089,177497.0,Algeria,6380.0,127.77619241625524,3.7068300209759255
78,Hassi Messaoud,31.70234011,6.0544518620000005,18124.0,Algeria,151.0,155.3177705213818,3.6769562026525398
79,Chlef,36.17041363,1.319960489,449167.0,Algeria,166.0,76.98855645406832,4.926073491585673
80,Mascara,35.40040895,0.14003251,108230.0,Algeria,10.0,133.44932577662433,4.568160971358884
81,Mostaganem,35.940376,0.089983885,159177.0,Algeria,148.0,188.71467289231822,3.539380595620936
82,Saida,34.84039146,0.14003251,134855.0,Algeria,16.0,666.0737426838368,2.0406381980918966
83,Tiarat,35.38043601,1.319960489,184195.0,Algeria,10.0,385.14842171135643,3.0051126640178234
84,Bejaia,36.76037762,5.070015827,274520.0,Algeria,157.0,219.5968483154822,3.3361813464285275
85,Blida,36.4203467,2.829997517,388174.0,Algeria,4.0,268.88397837299823,3.8422649930703816
86,Bouira,36.38047833,3.900009724,110144.0,Algeria,389.0,212.1027063021363,3.2066716299867983
87,Medea,36.27040753,2.770001179,145863.5,Algeria,1173.0,147.63206535250222,3.641060418961298
88,Souk Ahras,36.29038047,7.949995075,134947.0,Algeria,1580.0,424.858188216874,2.0105273158181802
89,Tebessa,35.41043418,8.120010537,171742.0,Algeria,10420.0,404.4002182693349,1.9273118974173242
90,Adrar,27.86999005,-0.289967083,56910.0,Algeria,6.0,341.1862920087166,3.246393802190537
91,Reggane,26.69998395,0.166645873,22351.5,Algeria,6.0,20.55284830631284,7.318777405184019
92,Bechar,31.61110537,-2.230003704,142415.5,Algeria,142.0,581.5587235425613,1.8377016182326942
93,Tindouf,27.67418805,-8.147782025,18270.0,Algeria,7.0,488.61945059281635,2.5776731182284096
94,Illizi,26.48335634,8.466604369,7293.0,Algeria,13.0,450.46416386859136,2.467148692662374
95,Arak,25.279993100000002,3.749993041,423251.0,Algeria,235.0,829.3795856758661,1.2935566823084261
96,I-n-Salah,27.21664492,2.466608845,28632.0,Algeria,50.0,343.58793119983727,2.6984004232509213
97,El Golea,30.56662132,2.883327595,32049.0,Algeria,740.0,428.76461472594,1.9804658927835208
98,Laghouat,33.80998924,2.8800203030000002,108279.0,Algeria,8.0,272.3561930272357,3.552714962330783
99,Touggourt,33.0999809,6.05998124,91499.0,Algeria,165.0,187.5642262450537,3.49647393822632
100,Ouargla,31.96997235,5.340025186,176271.0,Algeria,3220.0,83.40402862901071,4.404482090873637
101,Biskra,34.85997683,5.73002722,202103.0,Algeria,235.0,118.81768792629377,4.182194644336231
102,Djelfa,34.67998781,3.250023558,170901.0,Algeria,48.0,126.47559569412273,4.3328557473222675
103,Setif,36.18002545,5.399969847,274744.0,Algeria,28.0,181.64447476288453,3.9253195879401557
104,Batna,35.56995933,6.170000365,269467.0,Algeria,49.0,503.2353190666692,2.274826154923292
105,Annaba,36.92000612,7.759980833999999,355047.0,Algeria,6590.0,339.6343600699383,2.2744169477591396
106,Constantine,36.35998863,6.5999482810000005,527638.0,Algeria,97.0,43.93986794254196,5.842478469763523
107,Oran,35.71000246,-0.61997278,721992.0,Algeria,3070.0,156.63077627136437,3.551276273099197
108,Tamanrasset,22.78500327,5.5228047270000005,71808.0,Algeria,60.0,184.17497409195704,3.6712289223392562
109,Ghardaia,32.48999229,3.669997923,125480.0,Algeria,87.0,339.28634847217796,2.7227672229722066
110,Algiers,36.763064799999995,3.05055253,2665831.5,Algeria,3.0,134.230852211402,5.075256973952074
111,Pago Pago,-14.2766105,-170.70664509999997,12038.0,American Samoa,1580.0,117.36333254288009,3.77439581911575
112,Andorra,42.50000144,1.5164859609999999,38127.0,Andorra,38.0,269.3663561488165,3.139267279228235
114,Lucapa,-8.419603659,20.74001542,25578.0,Angola,81.0,472.6037771345397,2.122503784466836
115,Capenda-Camulemba,-9.419594300000002,18.43002722,79842.5,Angola,870.0,160.07597932658825,3.5127998323936183
116,Saurimo,-9.659579652,20.39001094,40907.0,Angola,3.0,213.4903228876855,4.12564863993737
117,Muconda,-10.59962563,21.31998002,2324.0,Angola,125.0,118.56007353673232,3.931690755269969
119,Caxito,-8.579542217,13.65998246,15665.5,Angola,29.0,325.2607910749859,2.841911207934825
120,Camabatela,-8.189591859,15.37000728,12731.0,Angola,380.0,163.0723079262898,3.448816525212463
121,Ndalatando,-9.299549948,14.90998368,8144.0,Angola,380.0,330.9286604685882,2.345102514461526
122,Quibala,-10.72959186,14.97995357,5248.5,Angola,310.0,316.04756972256064,2.4029627635025403
124,Waku Kungo,-11.35952757,15.1199967,11519.5,Angola,1380.0,329.6891091156577,2.230617464450079
125,Songo,-7.349591452,14.84998734,10579.0,Angola,11.0,306.5987948782259,3.1215300852199226
126,Mbanza-Congo,-6.269605694,14.23999874,42201.0,Angola,3270.0,523.3550212819673,1.5444680923790126
127,Nzeto,-7.2295987760000004,12.86003129,19705.5,Angola,83.0,320.7954067719903,2.6848290470654446
128,Soyo,-6.1296142389999995,12.36998368,65329.0,Angola,390.0,530.0977504383803,1.7868556084475
129,Cabinda,-5.55962319,12.18999467,78905.5,Angola,2340.0,170.54428746461056,3.3132501610583818
131,Camacupa,-12.01959064,17.46998246,19489.0,Angola,47.0,309.93817280507653,2.8366679684294698
132,Cubal,-13.03958006,14.23999874,4837.0,Angola,960.0,238.21786837049666,2.6863604494554796
133,Mavinga,-15.7895414,20.36003861,30000.0,Angola,4.0,167.00468427317858,4.39104995532482
136,Ondjiva,-17.06961831,15.73003699,8748.0,Angola,6060.0,275.72041923714454,2.336518415404889
138,Chibemba,-15.74959552,14.0800085,1502.0,Angola,4.0,122.88402828670436,4.590357640955859
139,Chibia,-15.1896297,13.69000647,1411.0,Angola,2570.0,753.1743404272767,0.7235013029475553
141,Luau,-10.7095414,22.23000199,9964.0,Angola,97.0,171.28205881614852,3.550928540296136
142,Cangamba,-13.69959145,19.86001745,1307.0,Angola,8.0,144.3850782853663,4.143466633798164
145,Dundo,-7.380028871,20.82998409,11985.0,Angola,132.0,169.44308462860147,3.533740249811935
146,Ambriz,-7.85498696,13.12502803,17000.0,Angola,2570.0,31.064587661740955,5.705496476688
147,Dondo,-9.690017071,14.43001298,2353.0,Angola,3.0,566.7603881134659,2.411560157993738
148,Sumbe,-11.21002765,13.8499967,29638.5,Angola,5370.0,223.40225762398958,2.7604753113581473
149,Uige,-7.620014222000001,15.04997514,56787.5,Angola,6.0,106.25496489542154,5.000909587767838
150,Kuito,-12.38003375,16.93998897,113955.0,Angola,20.0,303.3853404537669,3.169192088748169
151,Lobito,-12.37000853,13.54123002,170733.0,Angola,13.0,260.9328995939221,3.5233568104218427
153,Luena,-11.79004393,19.90001501,17276.5,Angola,1620.0,358.41047031300457,2.1199245006876803
154,Tômbua,-15.80003172,11.85998897,40000.0,Angola,7.0,275.67689948239484,3.501737756863743
155,Malanje,-9.540000388,16.34002559,106451.0,Angola,220.0,201.6510693053284,3.3563095076558755
156,Benguela,-12.57826455,13.40723303,142017.0,Angola,7330.0,343.4224593838543,2.191930684236845
157,Lubango,-14.91000853,13.49001868,114086.5,Angola,82.0,699.5257548935801,1.6306504920591343
158,Namibe,-15.19004311,12.16002234,128130.5,Angola,160.0,699.7799770378597,1.5325395107066757
159,Menongue,-14.66661253,17.69999426,13030.0,Angola,132.0,469.47969025990454,2.002007406868177
160,Huambo,-12.74998533,15.76000932,986000.0,Angola,16.0,256.77483404253,3.6013796429600733
161,Luanda,-8.838286114,13.23442704,3562086.0,Angola,1370.0,42.097842095964545,5.663614650058109
202,Saint John's,17.11803652,-61.85003382,29862.5,Antigua and Barbuda,4.0,59.12261584265957,5.937423890714591
203,28 de Noviembre,-51.65003986,-72.30001612,5300.0,Argentina,9620.0,217.22636097845617,2.6137285564392068
204,Gobernador Gregores,-48.76659829,-70.25001205,2519.0,Argentina,2520.0,87.45429543368883,4.027980307351146
206,Paso Rio Mayo,-45.68337563,-70.26657434,1825.0,Argentina,1580.0,196.75930146686736,2.8285887090764366
207,Alto Rio Sanguer,-45.03328611,-70.83328394,1548.0,Argentina,5.0,498.7849317373471,2.4186635782708477
208,El Maiten,-42.05000568,-71.16662276,4269.0,Argentina,35.0,513.1630563998768,2.003797656074216
209,Puerto Madryn,-42.77001341,-65.04001998,61159.0,Argentina,1013.0,183.21509533030166,3.274807803859755
210,Trelew,-43.25003579,-65.3299506,93128.5,Argentina,1070.0,458.9096020217837,1.910819731438632
211,Las Heras,-32.82503904,-68.80167668,66663.0,Argentina,6.0,75.03180296269527,5.529446512040118
212,San Martin,-33.06998533,-68.49001612,99974.0,Argentina,17.0,39.4608130612354,6.23429935304549
213,Uspallata,-32.59311522,-69.34598454,2390.0,Argentina,380.0,471.67084972366587,1.6976721094100031
214,Cutral Co,-38.94001463,-69.24002202,47597.0,Argentina,470.0,507.4461854431238,1.8076918880462656
215,Punta Alta,-38.87996662,-62.079968099999995,55969.5,Argentina,1460.0,145.7646776660332,3.5731452626083873
216,San Nicolas,-33.33002114,-60.24000289,117123.5,Argentina,20.0,314.64747388257706,3.1159059817319332
217,Campana,-34.15999632,-58.95997766,77149.5,Argentina,7.0,652.8032548205819,2.2428165790032715
218,Chacabuco,-34.65004393,-60.48998763,26645.0,Argentina,111.0,1021.1475847386669,0.906026596548866
219,Mercedes,-34.66001748,-59.44002588,48408.5,Argentina,640.0,642.2079291723759,1.4148870410728007
220,Lincoln,-34.88000405,-61.53994938,19924.0,Argentina,4970.0,497.53171520227335,1.5272279955823247
221,Chivilcoy,-34.89995115,-60.03998926,43719.0,Argentina,105.0,218.77036020294088,3.2830897192549218
222,Veinticinco de Mayo,-35.42999632,-60.17998071,18749.0,Argentina,7370.0,131.15678869443437,3.498853685733524
223,Nueve de Julio,-35.44596434,-60.88998906,26716.0,Argentina,59.0,586.9132349673489,1.8525054399571388
224,Dolores,-36.33004474,-57.68997766,21586.5,Argentina,3810.0,209.79960653825222,2.862356257808649
225,Pedro Luro,-39.48334064,-62.68331629,7100.0,Argentina,840.0,207.51947525528857,2.942821984969942
226,Tres Arroyos,-38.369971899999996,-60.26994938,34773.5,Argentina,160.0,956.7082170189068,0.9687307247939111
227,Coronel Suarez,-37.46661619,-61.9166189,20713.0,Argentina,13.0,663.2488835725267,1.9653171561644822
228,Balcarce,-37.83331216,-58.24999516,18967.0,Argentina,68.0,111.69831374761048,4.302766638245733
229,25 de Mayo,-37.80003253,-67.68329533,17430.0,Argentina,5.0,273.3145092033238,3.545023742612898
230,General Roca,-39.01995807,-67.60996647,38578.0,Argentina,1150.0,564.553019820072,1.5282265669529715
232,Ingeniero Jacobacci,-41.30002562,-69.58330855,5719.0,Argentina,192.0,482.3200760259277,1.8366481445068727
233,General Conesa,-40.10004718,-64.43328699,2958.0,Argentina,6590.0,373.81298534179183,1.7725372112667608
234,Choele Choel,-39.26660968,-65.68331405,9895.5,Argentina,2570.0,45.48567493503223,5.111569865019471
235,San Francisco,-31.43003375,-62.08996749,43231.0,Argentina,7330.0,691.072970260662,1.0525730463861627
236,Alta Gracia,-31.65999388,-64.4299797,30593.0,Argentina,2240.0,174.40505468924349,3.2171505477049687
237,Villa Maria,-32.41002562,-63.26002527,76701.0,Argentina,129.0,597.2468525586322,1.7712484245756854
238,Bell Ville,-32.60003986,-62.67995732,29605.0,Argentina,300.0,122.38034516796242,3.974947941148702
239,Villa Rumipal,-32.18332111,-64.48328394,1269.0,Argentina,738.0,306.4926261244971,2.205162858005832
240,Villa Carlos Paz,-31.42000853,-64.50000126,60256.0,Argentina,3920.0,241.8574968169757,2.7198356484691817
241,Chumbicha,-28.86662433,-66.23330632,2572.0,Argentina,130.0,525.5774048522196,1.6906139777929863
243,Abra Pampa,-22.7166638,-65.6999797,4480.0,Argentina,59.0,757.3399540895288,1.3195523824685185
244,Humahuaca,-23.19999347,-65.34994938,11369.0,Argentina,8270.0,204.41520504668352,2.782750432923665
245,Susques,-23.41667275,-66.4833169,1093.0,Argentina,192.0,201.60566405998085,2.9932408057561064
246,Chepes,-31.34998696,-66.5999506,6020.0,Argentina,7.0,535.7707402283287,2.3468473249363493
247,Yacuiba,-22.03003904,-63.69999841,64811.0,Argentina,110.0,678.9560136393528,1.5902235617411888
248,Tartagal,-22.55000731,-63.81001754,59996.5,Argentina,50.0,628.9271023028806,1.8358952504668253
249,Joaquin V. Gonzalez,-25.08334105,-64.18335392,13376.0,Argentina,107.0,481.62255984106156,1.9981891014835684
250,General Guemes,-24.6666223,-65.04996769,19828.0,Argentina,8670.0,583.4401784106135,1.2373786231278432
251,Trancas,-26.21665688,-65.28331262,1599.0,Argentina,155.0,205.72302777531615,3.0341622624882736
252,Presidencia Roque Saenz Pena,-26.790006899999995,-60.45001591,75958.0,Argentina,25.0,103.72915428975746,4.706544148989405
253,Pampa del Infierno,-26.51658689,-61.16658716,2921.0,Argentina,1580.0,493.00890259649583,1.487044395330493
254,Villa Angela,-27.58329181,-60.71666629999999,30051.0,Argentina,97.0,488.827164635658,2.053621018401499
255,Ingeniero Guillermo N. Juarez,-23.90000242,-61.84998214,6453.0,Argentina,206.0,624.5204750747761,1.4456860666534093
256,Comandante Fontana,-25.33329995,-59.68331852,4277.0,Argentina,16.0,311.5490876159498,2.9283293587070713
257,Doctor Pedro P. Pena,-22.47998574,-62.29998051,6143.0,Argentina,2970.0,676.3574634250762,1.0130872616568511
258,San Lorenzo,-28.12000324,-58.76998926,25833.5,Argentina,172.0,455.87849375232014,2.0600414649507703
259,Corrientes,-27.48996417,-58.80998682,339945.0,Argentina,173.0,261.6178856034844,3.070730695472019
260,Concepcion del Uruguay,-32.47999551,-58.23999577,48275.0,Argentina,5.0,594.1913347698254,2.445431238941401
261,Victoria,-32.61001341,-60.17998071,20032.5,Argentina,3070.0,301.02556014286466,2.3320982935651973
262,Gualeguay,-33.15003213,-59.34000615,25913.0,Argentina,6.0,87.44429249118838,5.234642604684229
263,Parana,-31.73332273,-60.53334416,226852.0,Argentina,108.0,895.9248880236735,1.2539583354031554
264,Villa Constitucion,-33.23002724,-60.35002202,30282.5,Argentina,2124.0,350.7073439804468,2.167963920326096
265,Rafaela,-31.25004474,-61.49997766,69649.0,Argentina,4.0,515.8825720252297,2.7477496895717692
266,Eldorado,-26.20001707,-54.59998539,17365.0,Argentina,132.0,372.5491661504262,2.3747251179959843
271,Malargue,-35.46611815,-69.58330855,11847.0,Argentina,63.0,69.84336014757977,4.977062271588594
272,Tunuyan,-33.56618244,-69.01667647,22834.0,Argentina,49.0,267.36693421023847,3.064133958909838
273,La Paz,-33.46613686,-67.54999597,4400.0,Argentina,820.0,648.0809066179114,1.1814176794613704
274,Chos Malal,-37.38295205,-70.26657434,8556.0,Argentina,89.0,382.0059997186965,2.342165619541902
275,Las Lajas,-38.51626788,-70.36659408,1218.0,Argentina,10420.0,114.63448389089503,3.423949669411167
276,Zarate,-34.08956134,-59.04002446,86192.0,Argentina,5270.0,92.85078562898697,4.153514907993037
277,Carhue,-37.1828609,-62.73331323,7190.0,Argentina,22.0,449.23584448671113,2.3483724329285574
278,Darregueira,-37.69957355,-63.16659428,3412.0,Argentina,456.0,454.99518524205706,1.763316971414145
279,Juarez,-37.66551878,-59.80002975,10609.0,Argentina,102.0,444.2579824437345,2.1093470924838074
280,Mar de Ajo,-36.71622272,-56.67660283,13610.0,Argentina,1680.0,357.867279305078,2.0996721062299786
281,Lobos,-35.184895000000004,-59.09467228,18278.0,Argentina,35.0,1344.2974357855303,0.6648123522400414
282,Chascomus,-35.56621539,-58.01662439,21054.0,Argentina,220.0,247.51714022793806,2.9327254449588795
283,Junin,-34.58456989,-60.95887374,66141.5,Argentina,107.0,97.08938420111001,4.5272936157328525
284,La Plata,-34.90961465,-57.95996118,440388.5,Argentina,39.0,128.81360123006928,4.402522400525045
285,Pergamino,-33.89959878,-60.56998275,71448.0,Argentina,63.0,208.17937220987085,3.4777974660649615
286,Lujan,-34.57960895,-59.10999435,69744.5,Argentina,220.0,491.0113621558994,1.9834445652904553
287,Azul,-36.7796297,-59.86999964,43407.5,Argentina,2570.0,494.18737083201034,1.656306399337199
288,Villalonga,-39.88285114,-62.58332239,2838.0,Argentina,115.0,561.4668138550107,1.6190106396122872
289,Victorica,-36.21625324,-65.45002079,4458.0,Argentina,53.0,258.78943606305387,2.9638299016034257
290,General Pico,-35.65959471,-63.77001998,46483.0,Argentina,1070.0,282.13052775011107,2.598888843112317
291,San Antonio Oeste,-40.73287677,-64.93328231,8492.0,Argentina,172.0,367.9960458803732,2.295961367925973
292,Sierra Colorado,-40.58286009,-67.79998071,1522.0,Argentina,1330.0,136.08374517963068,3.3818942986122864
293,Mercedes,-33.68958576,-65.4699679,49345.0,Argentina,109.0,269.9008706856958,2.968903291062554
294,Rio Tercero,-32.1796004,-64.12002446,38049.5,Argentina,8.0,148.42311978028653,4.394781747699938
295,Belen,-27.64959267,-67.03328333,11359.0,Argentina,12.0,517.7649240296231,2.312844403193049
296,Rinconada,-22.43290851,-66.16659204,6209.5,Argentina,2820.0,534.1769377554378,1.3766710084095704
297,San Pedro,-24.21962116,-64.87000452,55249.0,Argentina,20.0,290.6334428655636,3.185248405869563
298,Libertador General San Martin,-23.81954222,-64.78998356,47559.0,Argentina,6.0,288.59222392459,3.4868126011684257
299,Chilecito,-29.16552081,-67.49999903,20343.0,Argentina,9570.0,185.9431544833756,2.959071680449114
300,Chamical,-30.34958291,-66.31666039999999,8989.0,Argentina,86.0,480.9683320081639,2.003264616719179
301,Los Blancos,-23.59960732,-62.60003972,1145.0,Argentina,100.0,127.04970189234294,3.790695163527864
302,Cafayate,-26.08291828,-65.96660425,9478.0,Argentina,3.0,381.5402089310582,3.13622179901064
303,Cerrillos,-24.89963133,-65.48330042,11498.0,Argentina,7570.0,839.2814606932552,0.6543904790605295
304,San Antonio de los Cobres,-24.18293089,-66.35001754,4000.0,Argentina,63.0,434.7491852002516,2.1387153245110015
305,Anatuya,-28.46613198,-62.83330713,14133.0,Argentina,670.0,532.0774573119185,1.6025132871707548
306,Frias,-28.64958331,-65.14998743,13594.0,Argentina,126.0,761.3161756994551,1.2798335329377788
307,Monte Quemado,-25.79962807,-62.86658675,11387.0,Argentina,12.0,544.892455236954,2.235673730440094
308,Juan Jose Castelli,-25.949541399999998,-60.61664657,9421.0,Argentina,3.0,589.0553659939643,2.4780312913470657
309,Charata,-27.21628579,-61.19999597,18297.0,Argentina,42.0,456.8795822496052,2.2661203834748367
310,Las Lomitas,-24.69959186,-60.60000676,7683.0,Argentina,80.0,146.93553374253378,3.791246155873876
311,Mercedes,-29.1795768,-58.0799797,22872.5,Argentina,23.0,293.7529718396548,3.0742772171144956
312,Concordia,-31.38957111,-58.02998275,132760.5,Argentina,12.0,419.97712249671685,2.8075219026561813
313,Sunchales,-30.93290648,-61.56661442,12655.0,Argentina,4.0,1147.9544938283511,1.4083714507205516
314,San Justo,-30.78288979,-60.58328943,9607.0,Argentina,470.0,192.71115390903753,3.148105436157915
315,Vera,-29.466174300000002,-60.21659347,9979.0,Argentina,12.0,159.9263404716309,4.0758257245523595
316,Reconquista,-29.13952757,-59.65001306,86640.5,Argentina,170.0,707.5399635598322,1.4811871593665507
317,Venado Tuerto,-33.74958209,-61.97000065,52079.0,Argentina,82.0,717.6629438633071,1.538819807565496
318,Esquel,-42.90003131,-71.31661361,20048.0,Argentina,2462.0,200.86949041374635,2.9635579489532877
319,Zapala,-38.90001707,-70.06666406,19152.0,Argentina,21.0,236.7492022229183,3.4062847924076434
320,Olavarria,-36.90003579,-60.329997399999996,65059.0,Argentina,6940.0,457.6865211087909,1.7102519487997807
321,Tandil,-37.32001015,-59.15004358,84799.5,Argentina,2970.0,328.2447546076657,2.3078283521628578
322,Viedma,-40.79995278,-63.000015299999994,54031.0,Argentina,102.0,284.0857110965213,2.9085124564178435
323,San Luis,-33.29999713,-66.35001754,308146.0,Argentina,380.0,246.06663481082737,3.0502822545776334
324,Rio Cuarto,-33.13003335,-64.34998458,135959.5,Argentina,1580.0,448.95073486312214,1.9275073549317994
